경매번호,주소지,x,y,종류,면적,감정가,입찰가,입찰일,링크,크기,건물 면적,토지 면적,대지권 면적
2022 타경 16,서울 강동구 천호동 295-17 다솜마을 6층 601호,127.13276608539,37.546301104758,다세대/빌라,건물 32.57㎡(9.85평) / 대지권 19.4㎡(5.87평),"304,000,000","124,518,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=102_20220000016_001"">link</a>",10,9.85,0.0,5.87
2022 타경 21(1),경남 통영시 도천동 52-18 신한토탈아파트 1층 상가136호,128.41630753615,34.83952854317,근린상가,건물 22.52㎡(6.81평) / 대지권 7.4㎡(2.24평),"44,000,000","22,528,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220000021_001"">link</a>",10,6.81,0.0,2.24
2022 타경 21(2),경남 통영시 도천동 52-18 신한토탈아파트 1층 상가137호 외 1개 목록,128.41630753615,34.83952854317,근린상가,건물 44.62㎡(13.5평) / 대지권 14.7㎡(4.45평),"87,000,000","44,544,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220000021_002"">link</a>",10,13.5,0.0,4.45
2022 타경 21(3),경남 통영시 도천동 52-18 신한토탈아파트 1층 상가139호,128.41630753615,34.83952854317,근린상가,건물 23.16㎡(7.01평) / 대지권 7.6㎡(2.3평),"45,000,000","23,040,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220000021_003"">link</a>",10,7.01,0.0,2.3
2022 타경 1614(1),전북 전주시 덕진구 만성동 1265-11 센트럴법조빌딩 1층 101호,127.07414785879,35.841704311231,근린상가,건물 89.52㎡(27.08평) / 대지권 62.9㎡(19.03평),"1,012,900,000","347,425,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C01_20220001614_001"">link</a>",10,27.08,0.0,19.03
2022 타경 1614(4),전북 전주시 덕진구 만성동 1265-11 센트럴법조빌딩 1층 105호,127.07414785879,35.841704311231,근린상가,건물 104.21㎡(31.52평) / 대지권 73.2㎡(22.14평),"1,179,200,000","404,466,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C01_20220001614_004"">link</a>",10,31.52,0.0,22.14
2022 타경 1628,경남 통영시 도산면 관덕리 787-3,128.37871193788,34.89820196235,답,토지 942㎡(284.96평),"62,430,000","39,955,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220001628_001"">link</a>",10,0.0,284.96,0.0
2022 타경 1658,전남 목포시 항동 1-149 외 1개 목록,126.38521459503,34.783949498727,근린시설,건물 399.48㎡(120.84평) / 토지 190.5㎡(57.63평) / 제시외 47.7 ㎡,"688,196,780","481,738,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=802_20220001658_001"">link</a>",10,120.84,57.63,0.0
2022 타경 1689,전북 정읍시 연지동 302-22,126.84255434349,35.572821879667,답,토지 28.7㎡(8.68평),"10,274,600","5,034,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001689_001"">link</a>",10,0.0,8.68,0.0
2022 타경 1689(1),경북 포항시 북구 죽장면 침곡리 252-1,129.13231122433,36.169025681371,전,토지 380.15㎡(115평),"11,252,440","7,877,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=708_20220001689_001"">link</a>",10,0.0,115.0,0.0
2022 타경 1700,강원 강릉시 입암동 340-3 외 1개 목록,128.92075730517,37.751199767712,전,토지 6378㎡(1929.35평),"988,558,000","691,991,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=503_20220001700_001"">link</a>",10,0.0,1929.35,0.0
2022 타경 1727,경남 고성군 고성읍 교사리 129 대동맨션 4층 406호,128.31080685116,34.976176763414,아파트,건물 56.33㎡(17.04평) / 대지권 32.7㎡(9.89평),"60,000,000","38,400,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220001727_001"">link</a>",10,17.04,0.0,9.89
2022 타경 1737,전북 전주시 완산구 삼천동1가 284-7 신양스포피아 2층 201호 외 1개 목록,127.11197297498,35.798333141736,근린상가,건물 1344.43㎡(406.69평) / 대지권 637.08㎡(192.72평),"2,679,000,000","918,897,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C01_20220001737_001"">link</a>",10,406.69,0.0,192.72
2022 타경 1765(1),강원 횡성군 둔내면 둔방내리 266-1,128.19992870877,37.507098255165,전,토지 463㎡(140.06평),"13,195,500","4,526,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=502_20220001765_001"">link</a>",10,0.0,140.06,0.0
2022 타경 1795,전북 부안군 부안읍 선은리 258-1 대림낭주골임대아파트 103동 1층 101호,126.73839158082,35.729481864369,아파트,건물 59.93㎡(18.13평) / 대지권 27㎡(8.17평),"82,000,000","57,400,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001795_001"">link</a>",10,18.13,0.0,8.17
2022 타경 1796,강원 횡성군 강림면 강림리 331,128.13427216589,37.365897818584,전,토지 1974㎡(597.14평),"41,059,200","9,858,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=502_20220001796_001"">link</a>",10,0.0,597.14,0.0
2022 타경 1802(1),경남 통영시 무전동,128.43242606098,34.857384393784,선박,,"184,902,300","94,670,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220001802_001"">link</a>",10,0.0,0.0,0.0
2022 타경 1802(2),경남 통영시 무전동,128.43242606098,34.857384393784,선박,,"175,937,900","90,080,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220001802_002"">link</a>",10,0.0,0.0,0.0
2022 타경 1825,전북 부안군 상서면 용서리 산 20,126.66607525968,35.695333784928,임야,토지 7140.5㎡(2160평),"12,138,850","5,948,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001825_001"">link</a>",10,0.0,2160.0,0.0
